,,,sysbench,,,y-cruncher,,,pgbench,,,iperf,,,,,,
instanceID,setId,tenants,sysbench_wall_time,sysbench_std,sysbench_cv,ycruncher_wall_time,ycruncher_std,ycruncher_cv,pgbench_transactions,pgbench_std,pgbench_cv,bandwidthUpload,bandwitdhDownload,iperf_total,stdUp,stdDown,stdTotal,iperf_cv
i-0c3e9f9e7b281edfe,0,48,9.043050289,0.006908970847,0.0007640088937,6.534842253,0.06263509355,0.00958479044,125848.6667,118.7490351,0.0009435859611,461.5,472.6,934.1,157.3179724,160.1909971,289.2259593,0.309630617
i-0cc4b604b837f69d9,0,48,9.041385438,0.005421604666,0.0005996431302,6.535389874,0.02828156587,0.004327448922,123427,730.5073579,0.005918537742,567.4,485.8,1053.2,229.7260204,130.6129141,349.6155984,0.3319555625
i-0d136c81f43ce8a29,0,48,9.041906754,0.004895534302,0.0005414272051,6.530932586,0.04557237415,0.006977927509,123526.6667,116.7490186,0.0009451321055,634.1,553.9,1188,251.7403645,167.8375206,333.3616655,0.2806074625
i-0d1c421d52c368b29,0,48,9.045024739,0.007639615422,0.0008446207326,6.551235543,0.1032863639,0.01576593655,123335.6667,399.8153741,0.003241684947,848.7,825.1,1673.8,688.5172555,588.8962274,1264.805896,0.7556493586
i-0d44050a4e6a71d7c,0,48,9.043125656,0.007204925616,0.00079672957,6.461177164,0.07044300454,0.01090250318,124210,530.534636,0.004271271524,373.8,444.4,818.2,109.4154163,177.0381001,282.2326857,0.3449433949
i-0d6feb91baa545931,0,48,9.042877647,0.007049980425,0.0007796169207,6.578729418,0.05471214858,0.008316522098,121454.6667,359.1884371,0.002957386875,547.1,520.3,1067.4,171.958296,95.77873807,250.017866,0.2342307158
i-0d75b8bf3603b2040,0,48,9.04240489,0.008487578771,0.0009386417523,6.476328929,0.08137033188,0.01256426793,122447,715.2286348,0.005841128282,495.9,561.3,1057.2,148.3018319,143.6152654,242.357312,0.2292445251
i-0dcfa6d3bc470d28d,0,48,9.044136392,0.007285641725,0.0008055652204,6.48754006,0.06436433931,0.00992122418,124719.6667,656.1534373,0.005261026227,490.5,626.5,1117,147.5392603,127.2244299,147.7475324,0.132271739
i-0e167bbfcd6a685f5,0,48,9.043405639,0.006921948197,0.0007654138799,6.519094414,0.04711284913,0.007226900875,122529.6667,544.4908937,0.004443747449,818.5,661.9,1480.4,417.0684063,347.1821328,744.6105917,0.5029793243
i-0ede59d8254436a40,0,48,9.040961583,0.006045183075,0.0006686438184,6.539021095,0.07916834836,0.01210706422,123651.3333,98.00680248,0.0007926061114,558.6,521,1079.6,267.3920135,176.4394766,409.7986497,0.3795837808
i-0f285214d5c41327e,0,48,9.043334325,0.005417573769,0.0005990681726,6.409571992,0.04005041237,0.006248531481,123640.6667,376.3911972,0.003044234614,567.5,471.9,1039.4,169.4981154,99.21743798,248.4611304,0.2390428424
i-0f472084ac3992ad9,0,48,9.044530551,0.007201068996,0.0007961794098,6.55292307,0.1556379299,0.02375091669,125537.3333,638.5266896,0.005086348998,735,767.6,1502.6,465.9341871,414.3351301,769.0513926,0.5118137845
i-0009b7735dea24732,1,47,9.048612065,0.01567929719,0.001732784772,6.425419834,0.03327942108,0.005179337995,124874.6667,504.840899,0.004042780754,484.7,524.6,1009.3,108.423091,140.9532625,173.0202621,0.1714260003
i-002f7e27ea3e0bc1c,1,47,9.050581349,0.01626718615,0.001797363674,6.496948083,0.09319692396,0.01434472352,123011,60.25777958,0.0004898568387,519.9,637.7,1157.6,299.2867261,193.8006135,408.1152343,0.3525528976
i-007e12c9530b8cdea,1,47,9.051399019,0.01859506642,0.002054385889,6.416942941,0.1290262342,0.02010711883,121913,315.905049,0.002591233495,505.5,513.4,1018.9,207.2155346,169.6147268,349.4136199,0.3429322013
i-008e6f72c7403b5d3,1,47,9.048522817,0.0142770422,0.001577831264,6.419182539,0.04507660917,0.007022172823,125413.3333,278.8087756,0.002223119091,635.3,613,1248.3,170.5781346,121.8569289,170.0771394,0.1362470074
