experimentID,instanceID,instanceType,wallTime,testOption,per-request-avg-time,total-time,thread-num
1574731535-11,i-060035788697ff7eb,c3.large,9.433843136,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1875.41ms,9.3797s,2
1574731535-11,i-060035788697ff7eb,c3.large,9.396784782,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1873.52ms,9.3705s,2
1574731535-11,i-060035788697ff7eb,c3.large,9.402385235,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1874.11ms,9.3715s,2
1574731535-12,i-060035788697ff7eb,c3.large,9.420743465,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1875.26ms,9.3880s,2
1574731535-12,i-060035788697ff7eb,c3.large,9.398201466,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1873.46ms,9.3729s,2
1574731535-12,i-060035788697ff7eb,c3.large,9.400826693,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1873.64ms,9.3718s,2
1574731535-13,i-060035788697ff7eb,c3.large,9.402872562,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1873.58ms,9.3712s,2
1574731535-13,i-060035788697ff7eb,c3.large,9.398545027,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1873.45ms,9.3721s,2
1574731535-13,i-060035788697ff7eb,c3.large,9.395040989,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1873.69ms,9.3690s,2
1574731535-14,i-060035788697ff7eb,c3.large,9.424812555,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1875.02ms,9.3759s,2
1574731535-14,i-060035788697ff7eb,c3.large,9.397738934,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1873.17ms,9.3686s,2
1574731535-14,i-060035788697ff7eb,c3.large,9.398812771,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1873.97ms,9.3732s,2
1574731535-0,i-07f2a8f7a02f1f390,c3.large,9.447368145,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1874.61ms,9.3827s,2
1574731535-0,i-07f2a8f7a02f1f390,c3.large,9.420618296,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1875.28ms,9.3775s,2
1574731535-0,i-07f2a8f7a02f1f390,c3.large,9.413752317,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1874.79ms,9.3750s,2
1574731535-1,i-07f2a8f7a02f1f390,c3.large,9.397330761,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1873.82ms,9.3714s,2
1574731535-1,i-07f2a8f7a02f1f390,c3.large,9.417013168,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1876.41ms,9.3832s,2
1574731535-1,i-07f2a8f7a02f1f390,c3.large,9.422224045,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1875.42ms,9.3878s,2
1574731535-2,i-07f2a8f7a02f1f390,c3.large,9.403758764,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1873.85ms,9.3746s,2
1574731535-2,i-07f2a8f7a02f1f390,c3.large,9.410349369,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1875.47ms,9.3799s,2
1574731535-2,i-07f2a8f7a02f1f390,c3.large,9.398515463,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1874.24ms,9.3728s,2
1574731535-3,i-07f2a8f7a02f1f390,c3.large,9.403496981,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1874.60ms,9.3763s,2
1574731535-3,i-07f2a8f7a02f1f390,c3.large,9.414593697,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1875.98ms,9.3855s,2
1574731535-3,i-07f2a8f7a02f1f390,c3.large,9.416688681,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1876.24ms,9.3873s,2
1574731535-4,i-07f2a8f7a02f1f390,c3.large,9.399521112,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1874.04ms,9.3738s,2
1574731535-4,i-07f2a8f7a02f1f390,c3.large,9.411379576,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1875.24ms,9.3847s,2
1574731535-4,i-07f2a8f7a02f1f390,c3.large,9.403232813,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1874.69ms,9.3746s,2
1574731535-5,i-07f2a8f7a02f1f390,c3.large,9.407574654,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1874.11ms,9.3736s,2
1574731535-5,i-07f2a8f7a02f1f390,c3.large,9.412146091,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1875.90ms,9.3815s,2
1574731535-5,i-07f2a8f7a02f1f390,c3.large,9.42035532,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1876.12ms,9.3888s,2
1574731535-6,i-07f2a8f7a02f1f390,c3.large,9.420492887,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1874.11ms,9.3718s,2
1574731535-6,i-07f2a8f7a02f1f390,c3.large,9.414422274,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1875.22ms,9.3820s,2
1574731535-6,i-07f2a8f7a02f1f390,c3.large,9.408833742,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1874.21ms,9.3729s,2
1574731535-7,i-07f2a8f7a02f1f390,c3.large,9.399098396,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1874.33ms,9.3725s,2
1574731535-7,i-07f2a8f7a02f1f390,c3.large,9.411387444,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1875.71ms,9.3803s,2
1574731535-7,i-07f2a8f7a02f1f390,c3.large,9.412091732,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1875.27ms,9.3853s,2
1574731535-8,i-07f2a8f7a02f1f390,c3.large,9.398008823,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1873.77ms,9.3719s,2
1574731535-8,i-07f2a8f7a02f1f390,c3.large,9.408660173,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1875.33ms,9.3780s,2
1574731535-8,i-07f2a8f7a02f1f390,c3.large,9.408012152,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1873.55ms,9.3715s,2
1574731535-0,i-0e7664a133eb9df28,c3.large,9.463447094,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1875.25ms,9.3813s,2
1574731535-0,i-0e7664a133eb9df28,c3.large,9.424957752,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1878.36ms,9.3983s,2
1574731535-0,i-0e7664a133eb9df28,c3.large,9.41028738,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1874.89ms,9.3822s,2
1574731535-1,i-0e7664a133eb9df28,c3.large,9.415568829,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1875.46ms,9.3804s,2
1574731535-1,i-0e7664a133eb9df28,c3.large,9.418450594,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1877.06ms,9.3898s,2
1574731535-1,i-0e7664a133eb9df28,c3.large,9.422387838,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1876.23ms,9.3861s,2
1574731535-2,i-0e7664a133eb9df28,c3.large,9.412522078,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1875.83ms,9.3855s,2
1574731535-2,i-0e7664a133eb9df28,c3.large,9.430537224,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1878.52ms,9.3966s,2
1574731535-2,i-0e7664a133eb9df28,c3.large,9.412551641,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1875.01ms,9.3804s,2
1574731535-3,i-0e7664a133eb9df28,c3.large,9.406843424,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1875.83ms,9.3796s,2
1574731535-3,i-0e7664a133eb9df28,c3.large,9.425142527,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1877.68ms,9.3979s,2
1574731535-3,i-0e7664a133eb9df28,c3.large,9.416893959,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1875.09ms,9.3844s,2
1574731535-4,i-0e7664a133eb9df28,c3.large,9.415650129,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1875.76ms,9.3873s,2
1574731535-4,i-0e7664a133eb9df28,c3.large,9.43447113,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1879.57ms,9.4027s,2
1574731535-4,i-0e7664a133eb9df28,c3.large,9.407622814,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1875.20ms,9.3770s,2
1574731535-5,i-0e7664a133eb9df28,c3.large,9.408834696,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1875.00ms,9.3818s,2
1574731535-5,i-0e7664a133eb9df28,c3.large,9.413058519,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1877.04ms,9.3861s,2
1574731535-5,i-0e7664a133eb9df28,c3.large,9.409453392,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1875.03ms,9.3774s,2
1574731535-0,i-0e1cc7451dbf54125,c3.large,9.482939482,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1874.13ms,9.3714s,2
1574731535-0,i-0e1cc7451dbf54125,c3.large,9.443183899,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1879.11ms,9.3979s,2
1574731535-0,i-0e1cc7451dbf54125,c3.large,9.415891171,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1875.06ms,9.3820s,2
1574731535-1,i-0e1cc7451dbf54125,c3.large,9.437947512,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1873.98ms,9.3752s,2
1574731535-1,i-0e1cc7451dbf54125,c3.large,9.405386209,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1875.31ms,9.3798s,2
1574731535-1,i-0e1cc7451dbf54125,c3.large,9.410838366,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1876.22ms,9.3837s,2
1574731535-2,i-0e1cc7451dbf54125,c3.large,9.425031185,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1874.97ms,9.3767s,2
1574731535-2,i-0e1cc7451dbf54125,c3.large,9.417234898,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1877.11ms,9.3861s,2
1574731535-2,i-0e1cc7451dbf54125,c3.large,9.404303312,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1873.86ms,9.3721s,2
1574731535-3,i-0e1cc7451dbf54125,c3.large,9.426502943,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1873.95ms,9.3778s,2
1574731535-3,i-0e1cc7451dbf54125,c3.large,9.408596039,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1875.61ms,9.3793s,2
1574731535-3,i-0e1cc7451dbf54125,c3.large,9.403107405,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1874.19ms,9.3748s,2
1574731535-4,i-0e1cc7451dbf54125,c3.large,9.417234182,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1874.23ms,9.3742s,2
1574731535-4,i-0e1cc7451dbf54125,c3.large,9.425010681,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1877.13ms,9.3989s,2
1574731535-4,i-0e1cc7451dbf54125,c3.large,9.397860527,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1873.86ms,9.3733s,2
1574731535-5,i-0e1cc7451dbf54125,c3.large,9.416468382,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1874.94ms,9.3750s,2
1574731535-5,i-0e1cc7451dbf54125,c3.large,9.408139229,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1875.21ms,9.3839s,2
1574731535-5,i-0e1cc7451dbf54125,c3.large,9.402022362,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1873.90ms,9.3738s,2
1574731535-6,i-0e1cc7451dbf54125,c3.large,9.438517094,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1875.08ms,9.3763s,2
1574731535-6,i-0e1cc7451dbf54125,c3.large,9.417818785,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1877.62ms,9.3931s,2
1574731535-6,i-0e1cc7451dbf54125,c3.large,9.398597717,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1874.13ms,9.3739s,2
1574731535-7,i-0e1cc7451dbf54125,c3.large,9.40191865,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1874.70ms,9.3743s,2
1574731535-7,i-0e1cc7451dbf54125,c3.large,9.410319328,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1875.73ms,9.3815s,2
1574731535-7,i-0e1cc7451dbf54125,c3.large,9.401381969,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1873.78ms,9.3714s,2
1574731535-8,i-0e1cc7451dbf54125,c3.large,9.425547361,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1874.26ms,9.3747s,2
1574731535-8,i-0e1cc7451dbf54125,c3.large,9.419698954,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1876.42ms,9.3912s,2
1574731535-8,i-0e1cc7451dbf54125,c3.large,9.39797473,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1874.25ms,9.3749s,2
1574731535-9,i-0e1cc7451dbf54125,c3.large,9.400561094,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1873.66ms,9.3718s,2
1574731535-9,i-0e1cc7451dbf54125,c3.large,9.404468298,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1875.06ms,9.3756s,2
1574731535-9,i-0e1cc7451dbf54125,c3.large,9.401623487,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1874.14ms,9.3739s,2
1574731535-10,i-0e1cc7451dbf54125,c3.large,9.418492079,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1874.43ms,9.3768s,2
1574731535-10,i-0e1cc7451dbf54125,c3.large,9.416634321,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1876.86ms,9.3896s,2
1574731535-10,i-0e1cc7451dbf54125,c3.large,9.399131298,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1873.97ms,9.3738s,2
1574731535-11,i-0e1cc7451dbf54125,c3.large,9.405542135,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1875.23ms,9.3771s,2
1574731535-11,i-0e1cc7451dbf54125,c3.large,9.407057762,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1875.05ms,9.3808s,2
1574731535-11,i-0e1cc7451dbf54125,c3.large,9.404298544,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1874.14ms,9.3758s,2
1574731535-0,i-08e0be3c976cd22bb,c3.large,9.476502657,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1874.94ms,9.3753s,2
1574731535-0,i-08e0be3c976cd22bb,c3.large,9.435395002,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1877.22ms,9.3907s,2
1574731535-0,i-08e0be3c976cd22bb,c3.large,9.40933156,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1874.60ms,9.3734s,2
1574731535-1,i-08e0be3c976cd22bb,c3.large,9.403709888,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1874.49ms,9.3733s,2
1574731535-1,i-08e0be3c976cd22bb,c3.large,9.410792112,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1875.83ms,9.3802s,2
1574731535-1,i-08e0be3c976cd22bb,c3.large,9.407313347,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1874.55ms,9.3757s,2
1574731535-2,i-08e0be3c976cd22bb,c3.large,9.411781788,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1874.58ms,9.3789s,2
1574731535-2,i-08e0be3c976cd22bb,c3.large,9.426237822,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1877.19ms,9.3933s,2
1574731535-2,i-08e0be3c976cd22bb,c3.large,9.412019014,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1874.06ms,9.3750s,2
1574731535-3,i-08e0be3c976cd22bb,c3.large,9.409988165,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1874.22ms,9.3755s,2
