instanceID,bandwidthUpload,bandwitdhDownload,total,setId,tenants,stdUp,stdDown,stdTotal
i-0aecb3d1daeccc874,692.1,705.6,1397.7,34,34,318.7651347169435,187.83219461352553,426.8411231880598
i-0c3e9f9e7b281edfe,520.5,728.9,1249.4,34,34,208.70619966301376,244.4542447530371,390.4650219076394
i-0cc4b604b837f69d9,671.8,670.9,1342.7,34,34,266.87275369858696,189.99441512259716,344.8481308247637
i-0d136c81f43ce8a29,544.5,828.5,1373.0,34,34,171.969797089812,154.18837684973388,164.5762234751221
i-0d44050a4e6a71d7c,617.7,732.7,1350.4,34,34,276.9609077910535,158.97242947547016,334.70491149335976
i-0d6feb91baa545931,592.9,838.4,1431.3,34,34,215.194718026876,181.98730114427704,209.90053199869058
i-0d75b8bf3603b2040,547.1,766.8,1313.9,34,34,201.74541162343968,225.6318535431851,375.86180971202697
i-0dcfa6d3bc470d28d,830.8,802.7,1633.5,34,34,367.92656272081734,109.4847021277402,426.5122767544004
i-0e167bbfcd6a685f5,1047.2,1054.2,2101.4,34,34,1291.744367555404,1277.8530431939346,2566.826021027179
i-0ede59d8254436a40,903.2,754.3,1657.5,34,34,341.68855214459074,205.2938544298554,474.7905386120869
i-0f285214d5c41327e,747.6,651.6,1399.2,34,34,264.0207062586822,202.79886039565844,440.51606100118534
i-0009b7735dea24732,762.9,710.6,1473.5,35,35,288.78305967552103,150.78918322538183,338.7631916250643
i-002f7e27ea3e0bc1c,823.6,689.3,1512.9,35,35,360.1990807564308,157.70299088265045,455.31855759335014
i-007e12c9530b8cdea,505.3,629.5,1134.8,35,35,104.90953775091717,185.68865818293204,272.8503049089169
i-008e6f72c7403b5d3,737.5,584.9,1322.4,35,35,209.5403700165356,119.44729195572228,318.2930864610303
i-00d71d40b42658392,640.3,623.4,1263.7,35,35,257.4158114801808,155.5872031298775,348.9250317443244
i-01f539b055c2a5d34,616.3,701.3,1317.6,35,35,276.98658210582454,189.8420688654417,351.761345864557
i-0243a74ede206f760,492.4,747.7,1240.1,35,35,147.36817084356372,136.52272908038265,148.70287302014188
i-02765ba82e12781a4,1270.7,1238.4,2509.1,35,35,1337.5500032189866,1208.5422991723908,2509.089540495162
i-02ca0e36a4acaf9fc,791.7,757.0,1548.7,35,35,307.72067059447124,124.29266537759446,253.6450056454668
i-040dfb2d2a1990b9d,1086.6,1059.7,2146.3,35,35,1269.366000980192,1233.6701386963662,2494.736149486666
i-048c3c6548c1a414a,728.8,745.5,1474.3,35,35,338.58785172143035,190.52281869751047,410.2368015345933
i-0507566c757134fb6,690.2,719.3,1409.5,35,35,105.15787073623056,180.6304084157605,214.40006737146538
i-067b2519b614c8f9d,677.4,627.1,1304.5,35,35,224.57574817122767,164.45428273873293,338.9930349989182
i-06b96f53253b4cc2e,997.7,722.6,1720.3,35,35,351.30709895727665,188.13836515831758,479.95625958113214
