python3 distribute_work.py -b sysbench -s -c 5 -n 10 -d 2,,,,,,,,
experimentID,setId,instanceID,instanceType,wallTime,testOption,per-request-avg-time,total-time,thread-num
1573168503-0,0,i-0352fef0691cda759,m5d.large,9.042122602,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.58ms,9.0190s,2
1573168503-0,0,i-0352fef0691cda759,m5d.large,9.052292347,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.93ms,9.0268s,2
1573168503-0,0,i-0352fef0691cda759,m5d.large,9.063815117,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1806.47ms,9.0399s,2
1573168503-0,0,i-0352fef0691cda759,m5d.large,9.04067874,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.67ms,9.0175s,2
1573168503-0,0,i-0352fef0691cda759,m5d.large,9.060119152,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.77ms,9.0171s,2
1573168503-0,0,i-0352fef0691cda759,m5d.large,9.049095631,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.36ms,9.0234s,2
1573168503-0,0,i-0352fef0691cda759,m5d.large,9.0902946,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1807.96ms,9.0610s,2
1573168503-0,0,i-0352fef0691cda759,m5d.large,9.037109852,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.77ms,9.0140s,2
1573168503-0,0,i-0352fef0691cda759,m5d.large,9.037862062,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.93ms,9.0150s,2
1573168503-0,0,i-03ce6d0f6fcb281f4,m5d.large,9.092653751,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.23ms,9.0219s,2
1573168503-0,0,i-03ce6d0f6fcb281f4,m5d.large,9.039294004,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.56ms,9.0157s,2
