11/11/2019,python3 distribute_work.py -b pgbench -s -c 10 -n 3 -g m5d -d 4,,,,,,,,,,,
instanceID,experimentID,setId,instanceType,wallTime,clients,threads,scaleFactor,transactionsType,queryMode,duration,transactions,mountPoint
i-0081b4ee38f64360d,1573493686-0,0,m5d.large,60.34220743,10,10,1,TPC-B (sort of),simple,60 s,123610,data_directory = '/var/lib/postgresql/9.5/main'
i-0081b4ee38f64360d,1573493686-0,0,m5d.large,60.35294175,10,10,1,TPC-B (sort of),simple,60 s,123263,data_directory = '/var/lib/postgresql/9.5/main'
i-009bc0339c89f36be,1573493686-0,0,m5d.large,60.2111218,10,10,1,TPC-B (sort of),simple,60 s,126081,data_directory = '/var/lib/postgresql/9.5/main'
i-009bc0339c89f36be,1573493686-0,0,m5d.large,60.21600938,10,10,1,TPC-B (sort of),simple,60 s,125332,data_directory = '/var/lib/postgresql/9.5/main'
i-009bc0339c89f36be,1573493686-0,0,m5d.large,60.15681386,10,10,1,TPC-B (sort of),simple,60 s,124725,data_directory = '/var/lib/postgresql/9.5/main'
i-00f3dea44b5d24710,1573493686-0,0,m5d.large,60.2759428,10,10,1,TPC-B (sort of),simple,60 s,123821,data_directory = '/var/lib/postgresql/9.5/main'
i-00f3dea44b5d24710,1573493686-0,0,m5d.large,60.26187611,10,10,1,TPC-B (sort of),simple,60 s,123685,data_directory = '/var/lib/postgresql/9.5/main'
i-00f3dea44b5d24710,1573493686-0,0,m5d.large,60.27438688,10,10,1,TPC-B (sort of),simple,60 s,123441,data_directory = '/var/lib/postgresql/9.5/main'
i-00f67afb11e0bd948,1573493686-0,0,m5d.large,60.29758525,10,10,1,TPC-B (sort of),simple,60 s,124899,data_directory = '/var/lib/postgresql/9.5/main'
i-00f67afb11e0bd948,1573493686-0,0,m5d.large,60.26856709,10,10,1,TPC-B (sort of),simple,60 s,124623,data_directory = '/var/lib/postgresql/9.5/main'
i-00f67afb11e0bd948,1573493686-0,0,m5d.large,60.23722696,10,10,1,TPC-B (sort of),simple,60 s,124283,data_directory = '/var/lib/postgresql/9.5/main'
i-013fc3ccd086deb85,1573493686-0,0,m5d.large,60.20775127,10,10,1,TPC-B (sort of),simple,60 s,124880,data_directory = '/var/lib/postgresql/9.5/main'
i-013fc3ccd086deb85,1573493686-0,0,m5d.large,60.22153974,10,10,1,TPC-B (sort of),simple,60 s,124755,data_directory = '/var/lib/postgresql/9.5/main'
i-013fc3ccd086deb85,1573493686-0,0,m5d.large,60.21038818,10,10,1,TPC-B (sort of),simple,60 s,124775,data_directory = '/var/lib/postgresql/9.5/main'
i-0199616cf85088f42,1573493686-0,0,m5d.large,60.19830132,10,10,1,TPC-B (sort of),simple,60 s,125543,data_directory = '/var/lib/postgresql/9.5/main'
i-0199616cf85088f42,1573493686-0,0,m5d.large,60.19918966,10,10,1,TPC-B (sort of),simple,60 s,125253,data_directory = '/var/lib/postgresql/9.5/main'
i-0199616cf85088f42,1573493686-0,0,m5d.large,60.20730042,10,10,1,TPC-B (sort of),simple,60 s,124206,data_directory = '/var/lib/postgresql/9.5/main'
i-019ac8b730dd68817,1573493686-0,0,m5d.large,60.35633755,10,10,1,TPC-B (sort of),simple,60 s,123039,data_directory = '/var/lib/postgresql/9.5/main'
i-019ac8b730dd68817,1573493686-0,0,m5d.large,60.26967812,10,10,1,TPC-B (sort of),simple,60 s,122542,data_directory = '/var/lib/postgresql/9.5/main'
i-019ac8b730dd68817,1573493686-0,0,m5d.large,60.29007649,10,10,1,TPC-B (sort of),simple,60 s,122058,data_directory = '/var/lib/postgresql/9.5/main'
i-01b42d8b1c06bda7a,1573493686-0,0,m5d.large,60.3853147,10,10,1,TPC-B (sort of),simple,60 s,126555,data_directory = '/var/lib/postgresql/9.5/main'
i-01b42d8b1c06bda7a,1573493686-0,0,m5d.large,60.29708648,10,10,1,TPC-B (sort of),simple,60 s,126053,data_directory = '/var/lib/postgresql/9.5/main'
i-01b42d8b1c06bda7a,1573493686-0,0,m5d.large,60.47239256,10,10,1,TPC-B (sort of),simple,60 s,125866,data_directory = '/var/lib/postgresql/9.5/main'
i-0298f0b8d95554c11,1573493686-0,0,m5d.large,60.33851337,10,10,1,TPC-B (sort of),simple,60 s,125876,data_directory = '/var/lib/postgresql/9.5/main'
i-0298f0b8d95554c11,1573493686-0,0,m5d.large,60.35728145,10,10,1,TPC-B (sort of),simple,60 s,125442,data_directory = '/var/lib/postgresql/9.5/main'
i-0298f0b8d95554c11,1573493686-0,0,m5d.large,60.30339026,10,10,1,TPC-B (sort of),simple,60 s,124807,data_directory = '/var/lib/postgresql/9.5/main'
i-02b3ea9678581126f,1573493686-0,0,m5d.large,60.39916396,10,10,1,TPC-B (sort of),simple,60 s,125397,data_directory = '/var/lib/postgresql/9.5/main'
i-02b3ea9678581126f,1573493686-0,0,m5d.large,60.2813673,10,10,1,TPC-B (sort of),simple,60 s,125411,data_directory = '/var/lib/postgresql/9.5/main'
i-02b3ea9678581126f,1573493686-0,0,m5d.large,60.32611442,10,10,1,TPC-B (sort of),simple,60 s,125170,data_directory = '/var/lib/postgresql/9.5/main'
i-0406de69ef10bcf2f,1573493686-0,0,m5d.large,60.38417053,10,10,1,TPC-B (sort of),simple,60 s,124157,data_directory = '/var/lib/postgresql/9.5/main'
i-0406de69ef10bcf2f,1573493686-0,0,m5d.large,60.29892421,10,10,1,TPC-B (sort of),simple,60 s,124516,data_directory = '/var/lib/postgresql/9.5/main'
i-0406de69ef10bcf2f,1573493686-0,0,m5d.large,60.3392396,10,10,1,TPC-B (sort of),simple,60 s,123070,data_directory = '/var/lib/postgresql/9.5/main'
i-04a34adb2ad7935a0,1573493686-0,0,m5d.large,60.30833316,10,10,1,TPC-B (sort of),simple,60 s,124644,data_directory = '/var/lib/postgresql/9.5/main'
i-04a34adb2ad7935a0,1573493686-0,0,m5d.large,60.27228594,10,10,1,TPC-B (sort of),simple,60 s,123619,data_directory = '/var/lib/postgresql/9.5/main'
i-04a34adb2ad7935a0,1573493686-0,0,m5d.large,60.25533271,10,10,1,TPC-B (sort of),simple,60 s,123920,data_directory = '/var/lib/postgresql/9.5/main'
i-04b26a678509595cc,1573493686-0,0,m5d.large,60.25373197,10,10,1,TPC-B (sort of),simple,60 s,125979,data_directory = '/var/lib/postgresql/9.5/main'
i-04b26a678509595cc,1573493686-0,0,m5d.large,60.20767283,10,10,1,TPC-B (sort of),simple,60 s,125277,data_directory = '/var/lib/postgresql/9.5/main'
i-04b26a678509595cc,1573493686-0,0,m5d.large,60.18945193,10,10,1,TPC-B (sort of),simple,60 s,124845,data_directory = '/var/lib/postgresql/9.5/main'
i-04bee411b1aa7182a,1573493686-0,0,m5d.large,60.35887504,10,10,1,TPC-B (sort of),simple,60 s,126204,data_directory = '/var/lib/postgresql/9.5/main'
i-04bee411b1aa7182a,1573493686-0,0,m5d.large,60.3514967,10,10,1,TPC-B (sort of),simple,60 s,125360,data_directory = '/var/lib/postgresql/9.5/main'
i-04bee411b1aa7182a,1573493686-0,0,m5d.large,60.23707581,10,10,1,TPC-B (sort of),simple,60 s,124705,data_directory = '/var/lib/postgresql/9.5/main'
i-053d832f5290f4679,1573493686-0,0,m5d.large,60.34424806,10,10,1,TPC-B (sort of),simple,60 s,123477,data_directory = '/var/lib/postgresql/9.5/main'
i-053d832f5290f4679,1573493686-0,0,m5d.large,60.27596116,10,10,1,TPC-B (sort of),simple,60 s,123189,data_directory = '/var/lib/postgresql/9.5/main'
i-053d832f5290f4679,1573493686-0,0,m5d.large,60.48033309,10,10,1,TPC-B (sort of),simple,60 s,122919,data_directory = '/var/lib/postgresql/9.5/main'
i-0584ca6269a2927b7,1573493686-0,0,m5d.large,60.37775946,10,10,1,TPC-B (sort of),simple,60 s,125284,data_directory = '/var/lib/postgresql/9.5/main'
i-0584ca6269a2927b7,1573493686-0,0,m5d.large,60.31060982,10,10,1,TPC-B (sort of),simple,60 s,124756,data_directory = '/var/lib/postgresql/9.5/main'
i-0584ca6269a2927b7,1573493686-0,0,m5d.large,60.23223424,10,10,1,TPC-B (sort of),simple,60 s,124295,data_directory = '/var/lib/postgresql/9.5/main'
i-05ab28efb10ffba0e,1573493686-0,0,m5d.large,60.32132936,10,10,1,TPC-B (sort of),simple,60 s,122295,data_directory = '/var/lib/postgresql/9.5/main'
i-05ab28efb10ffba0e,1573493686-0,0,m5d.large,60.27041864,10,10,1,TPC-B (sort of),simple,60 s,122854,data_directory = '/var/lib/postgresql/9.5/main'
i-05ab28efb10ffba0e,1573493686-0,0,m5d.large,60.25184679,10,10,1,TPC-B (sort of),simple,60 s,122544,data_directory = '/var/lib/postgresql/9.5/main'
i-0614714cc8fd1b317,1573493686-0,0,m5d.large,60.20992017,10,10,1,TPC-B (sort of),simple,60 s,126293,data_directory = '/var/lib/postgresql/9.5/main'
i-0614714cc8fd1b317,1573493686-0,0,m5d.large,60.17999744,10,10,1,TPC-B (sort of),simple,60 s,125934,data_directory = '/var/lib/postgresql/9.5/main'
i-0614714cc8fd1b317,1573493686-0,0,m5d.large,60.19093251,10,10,1,TPC-B (sort of),simple,60 s,125377,data_directory = '/var/lib/postgresql/9.5/main'
i-063481688372009fc,1573493686-0,0,m5d.large,60.30994678,10,10,1,TPC-B (sort of),simple,60 s,126823,data_directory = '/var/lib/postgresql/9.5/main'
i-063481688372009fc,1573493686-0,0,m5d.large,60.25054407,10,10,1,TPC-B (sort of),simple,60 s,126082,data_directory = '/var/lib/postgresql/9.5/main'
i-063481688372009fc,1573493686-0,0,m5d.large,60.24059844,10,10,1,TPC-B (sort of),simple,60 s,125724,data_directory = '/var/lib/postgresql/9.5/main'
i-0645c1eba4dd8ef9d,1573493686-0,0,m5d.large,60.28042603,10,10,1,TPC-B (sort of),simple,60 s,124492,data_directory = '/var/lib/postgresql/9.5/main'
i-0645c1eba4dd8ef9d,1573493686-0,0,m5d.large,60.23129439,10,10,1,TPC-B (sort of),simple,60 s,123356,data_directory = '/var/lib/postgresql/9.5/main'
i-0645c1eba4dd8ef9d,1573493686-0,0,m5d.large,60.19130731,10,10,1,TPC-B (sort of),simple,60 s,122445,data_directory = '/var/lib/postgresql/9.5/main'
i-06927687233d3ce81,1573493686-0,0,m5d.large,60.4234755,10,10,1,TPC-B (sort of),simple,60 s,123421,data_directory = '/var/lib/postgresql/9.5/main'
i-06927687233d3ce81,1573493686-0,0,m5d.large,60.29955363,10,10,1,TPC-B (sort of),simple,60 s,123376,data_directory = '/var/lib/postgresql/9.5/main'
i-06927687233d3ce81,1573493686-0,0,m5d.large,60.31391573,10,10,1,TPC-B (sort of),simple,60 s,123196,data_directory = '/var/lib/postgresql/9.5/main'
i-06a8ca4d850701f89,1573493686-0,0,m5d.large,60.19017863,10,10,1,TPC-B (sort of),simple,60 s,125132,data_directory = '/var/lib/postgresql/9.5/main'
i-06a8ca4d850701f89,1573493686-0,0,m5d.large,60.20091748,10,10,1,TPC-B (sort of),simple,60 s,124669,data_directory = '/var/lib/postgresql/9.5/main'
i-06a8ca4d850701f89,1573493686-0,0,m5d.large,60.18818092,10,10,1,TPC-B (sort of),simple,60 s,123784,data_directory = '/var/lib/postgresql/9.5/main'
i-070a809e2a5831c4b,1573493686-0,0,m5d.large,60.30331492,10,10,1,TPC-B (sort of),simple,60 s,124004,data_directory = '/var/lib/postgresql/9.5/main'
i-070a809e2a5831c4b,1573493686-0,0,m5d.large,60.54713631,10,10,1,TPC-B (sort of),simple,60 s,123637,data_directory = '/var/lib/postgresql/9.5/main'
i-070a809e2a5831c4b,1573493686-0,0,m5d.large,60.30554438,10,10,1,TPC-B (sort of),simple,60 s,123544,data_directory = '/var/lib/postgresql/9.5/main'
i-07556b835363a1740,1573493686-0,0,m5d.large,60.37100244,10,10,1,TPC-B (sort of),simple,60 s,124212,data_directory = '/var/lib/postgresql/9.5/main'
i-07556b835363a1740,1573493686-0,0,m5d.large,60.27376032,10,10,1,TPC-B (sort of),simple,60 s,123575,data_directory = '/var/lib/postgresql/9.5/main'
i-07556b835363a1740,1573493686-0,0,m5d.large,60.28867054,10,10,1,TPC-B (sort of),simple,60 s,123172,data_directory = '/var/lib/postgresql/9.5/main'
i-0794604aa899e9363,1573493686-0,0,m5d.large,60.315027,10,10,1,TPC-B (sort of),simple,60 s,123675,data_directory = '/var/lib/postgresql/9.5/main'
i-0794604aa899e9363,1573493686-0,0,m5d.large,60.22266698,10,10,1,TPC-B (sort of),simple,60 s,123753,data_directory = '/var/lib/postgresql/9.5/main'
i-0794604aa899e9363,1573493686-0,0,m5d.large,60.2376008,10,10,1,TPC-B (sort of),simple,60 s,123716,data_directory = '/var/lib/postgresql/9.5/main'
i-0847a1fde1239b4f6,1573493686-0,0,m5d.large,60.19256353,10,10,1,TPC-B (sort of),simple,60 s,123446,data_directory = '/var/lib/postgresql/9.5/main'
i-0847a1fde1239b4f6,1573493686-0,0,m5d.large,60.19834304,10,10,1,TPC-B (sort of),simple,60 s,123109,data_directory = '/var/lib/postgresql/9.5/main'
i-0847a1fde1239b4f6,1573493686-0,0,m5d.large,60.20267773,10,10,1,TPC-B (sort of),simple,60 s,122773,data_directory = '/var/lib/postgresql/9.5/main'
i-092965f0e7f8e2f7a,1573493686-0,0,m5d.large,60.41766787,10,10,1,TPC-B (sort of),simple,60 s,126571,data_directory = '/var/lib/postgresql/9.5/main'
i-092965f0e7f8e2f7a,1573493686-0,0,m5d.large,60.28796482,10,10,1,TPC-B (sort of),simple,60 s,125791,data_directory = '/var/lib/postgresql/9.5/main'
i-092965f0e7f8e2f7a,1573493686-0,0,m5d.large,60.22884154,10,10,1,TPC-B (sort of),simple,60 s,125828,data_directory = '/var/lib/postgresql/9.5/main'
i-099dd766270dcdfe0,1573493686-0,0,m5d.large,60.18662548,10,10,1,TPC-B (sort of),simple,60 s,125302,data_directory = '/var/lib/postgresql/9.5/main'
i-099dd766270dcdfe0,1573493686-0,0,m5d.large,60.15652657,10,10,1,TPC-B (sort of),simple,60 s,124039,data_directory = '/var/lib/postgresql/9.5/main'
i-099dd766270dcdfe0,1573493686-0,0,m5d.large,60.17492104,10,10,1,TPC-B (sort of),simple,60 s,124016,data_directory = '/var/lib/postgresql/9.5/main'
i-099ee1e4a83390362,1573493686-0,0,m5d.large,60.38791442,10,10,1,TPC-B (sort of),simple,60 s,124188,data_directory = '/var/lib/postgresql/9.5/main'
i-099ee1e4a83390362,1573493686-0,0,m5d.large,60.38918138,10,10,1,TPC-B (sort of),simple,60 s,124441,data_directory = '/var/lib/postgresql/9.5/main'
i-099ee1e4a83390362,1573493686-0,0,m5d.large,60.32981181,10,10,1,TPC-B (sort of),simple,60 s,123740,data_directory = '/var/lib/postgresql/9.5/main'
i-0a2a407c9df56cfd9,1573493686-0,0,m5d.large,60.35461497,10,10,1,TPC-B (sort of),simple,60 s,124292,data_directory = '/var/lib/postgresql/9.5/main'
i-0a2a407c9df56cfd9,1573493686-0,0,m5d.large,60.32818842,10,10,1,TPC-B (sort of),simple,60 s,123670,data_directory = '/var/lib/postgresql/9.5/main'
i-0a2a407c9df56cfd9,1573493686-0,0,m5d.large,60.36777425,10,10,1,TPC-B (sort of),simple,60 s,124020,data_directory = '/var/lib/postgresql/9.5/main'
i-0a4d8691e4825dd05,1573493686-0,0,m5d.large,60.29741836,10,10,1,TPC-B (sort of),simple,60 s,126835,data_directory = '/var/lib/postgresql/9.5/main'
i-0a4d8691e4825dd05,1573493686-0,0,m5d.large,60.23745751,10,10,1,TPC-B (sort of),simple,60 s,125675,data_directory = '/var/lib/postgresql/9.5/main'
i-0a4d8691e4825dd05,1573493686-0,0,m5d.large,60.27650785,10,10,1,TPC-B (sort of),simple,60 s,125698,data_directory = '/var/lib/postgresql/9.5/main'
i-0a8c72dc0a2983782,1573493686-0,0,m5d.large,60.39527369,10,10,1,TPC-B (sort of),simple,60 s,124575,data_directory = '/var/lib/postgresql/9.5/main'
i-0a8c72dc0a2983782,1573493686-0,0,m5d.large,60.28775644,10,10,1,TPC-B (sort of),simple,60 s,123651,data_directory = '/var/lib/postgresql/9.5/main'
i-0a8c72dc0a2983782,1573493686-0,0,m5d.large,60.24117041,10,10,1,TPC-B (sort of),simple,60 s,123686,data_directory = '/var/lib/postgresql/9.5/main'
i-0ac717e37ac349436,1573493686-0,0,m5d.large,60.34525251,10,10,1,TPC-B (sort of),simple,60 s,125734,data_directory = '/var/lib/postgresql/9.5/main'
i-0ac717e37ac349436,1573493686-0,0,m5d.large,60.35466838,10,10,1,TPC-B (sort of),simple,60 s,124782,data_directory = '/var/lib/postgresql/9.5/main'
i-0ac717e37ac349436,1573493686-0,0,m5d.large,60.32192397,10,10,1,TPC-B (sort of),simple,60 s,125216,data_directory = '/var/lib/postgresql/9.5/main'
i-0b1660ab150321158,1573493686-0,0,m5d.large,60.31385136,10,10,1,TPC-B (sort of),simple,60 s,126033,data_directory = '/var/lib/postgresql/9.5/main'
i-0b1660ab150321158,1573493686-0,0,m5d.large,60.25196195,10,10,1,TPC-B (sort of),simple,60 s,125078,data_directory = '/var/lib/postgresql/9.5/main'
i-0b1660ab150321158,1573493686-0,0,m5d.large,60.24344969,10,10,1,TPC-B (sort of),simple,60 s,125521,data_directory = '/var/lib/postgresql/9.5/main'
i-0ba6ac65eda5fd2be,1573493686-0,0,m5d.large,60.23125434,10,10,1,TPC-B (sort of),simple,60 s,124278,data_directory = '/var/lib/postgresql/9.5/main'
i-0ba6ac65eda5fd2be,1573493686-0,0,m5d.large,60.18770814,10,10,1,TPC-B (sort of),simple,60 s,124449,data_directory = '/var/lib/postgresql/9.5/main'
i-0ba6ac65eda5fd2be,1573493686-0,0,m5d.large,60.16009498,10,10,1,TPC-B (sort of),simple,60 s,123698,data_directory = '/var/lib/postgresql/9.5/main'
i-0bab7b4ffcce0b983,1573493686-0,0,m5d.large,60.43940949,10,10,1,TPC-B (sort of),simple,60 s,126085,data_directory = '/var/lib/postgresql/9.5/main'
i-0bab7b4ffcce0b983,1573493686-0,0,m5d.large,60.30264878,10,10,1,TPC-B (sort of),simple,60 s,125074,data_directory = '/var/lib/postgresql/9.5/main'
i-0bab7b4ffcce0b983,1573493686-0,0,m5d.large,60.23762465,10,10,1,TPC-B (sort of),simple,60 s,124279,data_directory = '/var/lib/postgresql/9.5/main'
i-0ca30052d9ba02efb,1573493686-0,0,m5d.large,60.36711001,10,10,1,TPC-B (sort of),simple,60 s,125066,data_directory = '/var/lib/postgresql/9.5/main'
i-0ca30052d9ba02efb,1573493686-0,0,m5d.large,60.29509068,10,10,1,TPC-B (sort of),simple,60 s,123901,data_directory = '/var/lib/postgresql/9.5/main'
i-0ca30052d9ba02efb,1573493686-0,0,m5d.large,60.27576327,10,10,1,TPC-B (sort of),simple,60 s,124316,data_directory = '/var/lib/postgresql/9.5/main'
i-0d297fb82acbdb87a,1573493686-0,0,m5d.large,60.20280528,10,10,1,TPC-B (sort of),simple,60 s,125193,data_directory = '/var/lib/postgresql/9.5/main'
i-0d297fb82acbdb87a,1573493686-0,0,m5d.large,60.21414089,10,10,1,TPC-B (sort of),simple,60 s,124562,data_directory = '/var/lib/postgresql/9.5/main'
i-0d297fb82acbdb87a,1573493686-0,0,m5d.large,60.20113325,10,10,1,TPC-B (sort of),simple,60 s,124242,data_directory = '/var/lib/postgresql/9.5/main'
i-0de61ed9382a3fb50,1573493686-0,0,m5d.large,60.45851803,10,10,1,TPC-B (sort of),simple,60 s,125845,data_directory = '/var/lib/postgresql/9.5/main'
i-0de61ed9382a3fb50,1573493686-0,0,m5d.large,60.57936811,10,10,1,TPC-B (sort of),simple,60 s,125226,data_directory = '/var/lib/postgresql/9.5/main'
i-0de61ed9382a3fb50,1573493686-0,0,m5d.large,60.38972688,10,10,1,TPC-B (sort of),simple,60 s,125095,data_directory = '/var/lib/postgresql/9.5/main'
i-0ec63ff7c20b94289,1573493686-0,0,m5d.large,60.48065019,10,10,1,TPC-B (sort of),simple,60 s,123643,data_directory = '/var/lib/postgresql/9.5/main'
i-0ec63ff7c20b94289,1573493686-0,0,m5d.large,60.27215958,10,10,1,TPC-B (sort of),simple,60 s,123510,data_directory = '/var/lib/postgresql/9.5/main'
i-0ec63ff7c20b94289,1573493686-0,0,m5d.large,60.24990439,10,10,1,TPC-B (sort of),simple,60 s,123213,data_directory = '/var/lib/postgresql/9.5/main'
i-0f689a3a33498e83d,1573493686-0,0,m5d.large,60.31467223,10,10,1,TPC-B (sort of),simple,60 s,124625,data_directory = '/var/lib/postgresql/9.5/main'
i-0f689a3a33498e83d,1573493686-0,0,m5d.large,60.25455093,10,10,1,TPC-B (sort of),simple,60 s,124820,data_directory = '/var/lib/postgresql/9.5/main'
i-0f689a3a33498e83d,1573493686-0,0,m5d.large,60.29601288,10,10,1,TPC-B (sort of),simple,60 s,124221,data_directory = '/var/lib/postgresql/9.5/main'
i-0fa2929654e737097,1573493686-0,0,m5d.large,60.36736703,10,10,1,TPC-B (sort of),simple,60 s,123091,data_directory = '/var/lib/postgresql/9.5/main'
i-0fa2929654e737097,1573493686-0,0,m5d.large,60.29368258,10,10,1,TPC-B (sort of),simple,60 s,122895,data_directory = '/var/lib/postgresql/9.5/main'
i-0fa2929654e737097,1573493686-0,0,m5d.large,60.24997306,10,10,1,TPC-B (sort of),simple,60 s,122103,data_directory = '/var/lib/postgresql/9.5/main'
i-0fe43e68fee80f492,1573493686-0,0,m5d.large,60.40010524,10,10,1,TPC-B (sort of),simple,60 s,125812,data_directory = '/var/lib/postgresql/9.5/main'
i-0fe43e68fee80f492,1573493686-0,0,m5d.large,60.23098326,10,10,1,TPC-B (sort of),simple,60 s,125276,data_directory = '/var/lib/postgresql/9.5/main'
i-0fe43e68fee80f492,1573493686-0,0,m5d.large,60.31152391,10,10,1,TPC-B (sort of),simple,60 s,124969,data_directory = '/var/lib/postgresql/9.5/main'
i-0ff3d0efdb7d26460,1573493686-0,0,m5d.large,60.19681263,10,10,1,TPC-B (sort of),simple,60 s,123773,data_directory = '/var/lib/postgresql/9.5/main'
i-0ff3d0efdb7d26460,1573493686-0,0,m5d.large,60.21004057,10,10,1,TPC-B (sort of),simple,60 s,123103,data_directory = '/var/lib/postgresql/9.5/main'
i-0ff3d0efdb7d26460,1573493686-0,0,m5d.large,60.19997239,10,10,1,TPC-B (sort of),simple,60 s,122844,data_directory = '/var/lib/postgresql/9.5/main'
i-0ff5fc8fc2e90d33e,1573493686-0,0,m5d.large,60.3797214,10,10,1,TPC-B (sort of),simple,60 s,113363,data_directory = '/var/lib/postgresql/9.5/main'
i-0ff5fc8fc2e90d33e,1573493686-0,0,m5d.large,60.29427934,10,10,1,TPC-B (sort of),simple,60 s,113248,data_directory = '/var/lib/postgresql/9.5/main'
i-0ff5fc8fc2e90d33e,1573493686-0,0,m5d.large,60.2691257,10,10,1,TPC-B (sort of),simple,60 s,113477,data_directory = '/var/lib/postgresql/9.5/main'
i-00201d4dd6e17aac2,1573493686-1,1,m5d.large,60.27669024,10,10,1,TPC-B (sort of),simple,60 s,125654,data_directory = '/var/lib/postgresql/9.5/main'
i-00201d4dd6e17aac2,1573493686-1,1,m5d.large,60.36227274,10,10,1,TPC-B (sort of),simple,60 s,125566,data_directory = '/var/lib/postgresql/9.5/main'
i-00201d4dd6e17aac2,1573493686-1,1,m5d.large,60.3186307,10,10,1,TPC-B (sort of),simple,60 s,125787,data_directory = '/var/lib/postgresql/9.5/main'
i-002280d80dc30f869,1573493686-1,1,m5d.large,60.23795986,10,10,1,TPC-B (sort of),simple,60 s,124325,data_directory = '/var/lib/postgresql/9.5/main'
i-002280d80dc30f869,1573493686-1,1,m5d.large,60.22371006,10,10,1,TPC-B (sort of),simple,60 s,124556,data_directory = '/var/lib/postgresql/9.5/main'
i-002280d80dc30f869,1573493686-1,1,m5d.large,60.17893457,10,10,1,TPC-B (sort of),simple,60 s,124519,data_directory = '/var/lib/postgresql/9.5/main'
i-006e7104fede9e6a1,1573493686-1,1,m5d.large,60.37216401,10,10,1,TPC-B (sort of),simple,60 s,124662,data_directory = '/var/lib/postgresql/9.5/main'
i-006e7104fede9e6a1,1573493686-1,1,m5d.large,60.34534144,10,10,1,TPC-B (sort of),simple,60 s,124978,data_directory = '/var/lib/postgresql/9.5/main'
i-006e7104fede9e6a1,1573493686-1,1,m5d.large,60.36305714,10,10,1,TPC-B (sort of),simple,60 s,125121,data_directory = '/var/lib/postgresql/9.5/main'
i-0081b4ee38f64360d,1573493686-1,1,m5d.large,60.24329329,10,10,1,TPC-B (sort of),simple,60 s,122921,data_directory = '/var/lib/postgresql/9.5/main'
i-0081b4ee38f64360d,1573493686-1,1,m5d.large,60.2872262,10,10,1,TPC-B (sort of),simple,60 s,122855,data_directory = '/var/lib/postgresql/9.5/main'
i-0081b4ee38f64360d,1573493686-1,1,m5d.large,60.31501484,10,10,1,TPC-B (sort of),simple,60 s,123311,data_directory = '/var/lib/postgresql/9.5/main'
i-009bc0339c89f36be,1573493686-1,1,m5d.large,60.20247984,10,10,1,TPC-B (sort of),simple,60 s,124844,data_directory = '/var/lib/postgresql/9.5/main'
i-009bc0339c89f36be,1573493686-1,1,m5d.large,60.21633458,10,10,1,TPC-B (sort of),simple,60 s,124439,data_directory = '/var/lib/postgresql/9.5/main'
i-009bc0339c89f36be,1573493686-1,1,m5d.large,60.22647858,10,10,1,TPC-B (sort of),simple,60 s,124752,data_directory = '/var/lib/postgresql/9.5/main'
i-00f3dea44b5d24710,1573493686-1,1,m5d.large,60.23578668,10,10,1,TPC-B (sort of),simple,60 s,125589,data_directory = '/var/lib/postgresql/9.5/main'
i-00f3dea44b5d24710,1573493686-1,1,m5d.large,60.24731112,10,10,1,TPC-B (sort of),simple,60 s,125552,data_directory = '/var/lib/postgresql/9.5/main'
