experimentID,instanceID,instanceType,wallTime,testOption,per-request-avg-time,total-time,thread-num
1574752581-7,i-05973d6d31f353006,z1d.large,6.788628578,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1351.93ms,6.7622s,2
1574752581-7,i-05973d6d31f353006,z1d.large,6.785258293,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1351.84ms,6.7630s,2
1574752581-8,i-05973d6d31f353006,z1d.large,6.784964323,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1352.12ms,6.7607s,2
1574752581-8,i-05973d6d31f353006,z1d.large,6.785428762,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1352.18ms,6.7629s,2
1574752581-8,i-05973d6d31f353006,z1d.large,6.784880877,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1352.11ms,6.7617s,2
1574752581-9,i-05973d6d31f353006,z1d.large,6.783286333,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1351.97ms,6.7608s,2
1574752581-9,i-05973d6d31f353006,z1d.large,6.783691406,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1351.96ms,6.7614s,2
1574752581-9,i-05973d6d31f353006,z1d.large,6.78312254,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1351.93ms,6.7602s,2
1574752581-10,i-05973d6d31f353006,z1d.large,6.783748388,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1352.35ms,6.7619s,2
1574752581-10,i-05973d6d31f353006,z1d.large,6.785995483,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1351.78ms,6.7622s,2
1574752581-10,i-05973d6d31f353006,z1d.large,6.784959316,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1351.96ms,6.7615s,2
1574752581-11,i-05973d6d31f353006,z1d.large,6.786609411,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1351.81ms,6.7605s,2
1574752581-11,i-05973d6d31f353006,z1d.large,6.799023867,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1353.15ms,6.7705s,2
1574752581-11,i-05973d6d31f353006,z1d.large,6.785845518,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1351.88ms,6.7623s,2
1574752581-12,i-05973d6d31f353006,z1d.large,6.785228729,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1351.79ms,6.7623s,2
1574752581-12,i-05973d6d31f353006,z1d.large,6.784113884,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1351.81ms,6.7622s,2
1574752581-12,i-05973d6d31f353006,z1d.large,6.784452915,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1351.91ms,6.7628s,2
1574752581-13,i-05973d6d31f353006,z1d.large,6.790760994,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1351.89ms,6.7626s,2
1574752581-13,i-05973d6d31f353006,z1d.large,6.78871417,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1351.87ms,6.7628s,2
1574752581-13,i-05973d6d31f353006,z1d.large,6.789760351,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1352.38ms,6.7668s,2
1574752581-14,i-05973d6d31f353006,z1d.large,6.786413908,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1351.83ms,6.7601s,2
1574752581-14,i-05973d6d31f353006,z1d.large,6.785661697,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1352.01ms,6.7617s,2
1574752581-14,i-05973d6d31f353006,z1d.large,6.784061432,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1351.96ms,6.7628s,2
1574752581-15,i-05973d6d31f353006,z1d.large,6.790277958,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1351.76ms,6.7624s,2
1574752581-15,i-05973d6d31f353006,z1d.large,6.784857273,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1351.90ms,6.7622s,2
1574752581-15,i-05973d6d31f353006,z1d.large,6.782836199,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1351.74ms,6.7629s,2
1574752581-16,i-05973d6d31f353006,z1d.large,6.78542614,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1352.00ms,6.7614s,2
1574752581-16,i-05973d6d31f353006,z1d.large,6.782805443,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1351.85ms,6.7625s,2
1574752581-16,i-05973d6d31f353006,z1d.large,6.784553528,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1351.76ms,6.7622s,2
1574752581-17,i-05973d6d31f353006,z1d.large,6.783044577,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1351.78ms,6.7594s,2
1574752581-17,i-05973d6d31f353006,z1d.large,6.783444405,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1351.89ms,6.7596s,2
1574752581-17,i-05973d6d31f353006,z1d.large,6.782984734,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1351.95ms,6.7610s,2
1574752581-18,i-05973d6d31f353006,z1d.large,6.782994032,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1351.73ms,6.7608s,2
1574752581-18,i-05973d6d31f353006,z1d.large,6.781309843,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1351.86ms,6.7603s,2
1574752581-18,i-05973d6d31f353006,z1d.large,6.784423351,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1351.80ms,6.7608s,2
1574752581-19,i-05973d6d31f353006,z1d.large,6.78572607,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1351.75ms,6.7603s,2
1574752581-19,i-05973d6d31f353006,z1d.large,6.78826642,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1352.09ms,6.7610s,2
1574752581-19,i-05973d6d31f353006,z1d.large,6.782217264,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1351.84ms,6.7602s,2
