experimentID,setId,instanceID,instanceType,wallTime,testOption,per-request-avg-time,total-time,thread-num
1574832396-0,0,i-0c390ac086616c1f4,z1d.large,6.802282572,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1353.27ms,6.7714s,2
1574832396-0,0,i-0c390ac086616c1f4,z1d.large,6.79353714,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1352.66ms,6.7670s,2
1574832396-0,0,i-08ae75814bd91150d,z1d.large,6.813974142,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1354.36ms,6.7816s,2
1574832396-0,0,i-08ae75814bd91150d,z1d.large,6.793884993,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1352.45ms,6.7671s,2
1574832396-0,0,i-08ae75814bd91150d,z1d.large,6.787558317,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1352.46ms,6.7670s,2
1574832396-0,0,i-0782c0184dee1eddb,z1d.large,6.813792944,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1354.44ms,6.7788s,2
1574832396-0,0,i-0782c0184dee1eddb,z1d.large,6.787914515,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1352.86ms,6.7656s,2
1574832396-0,0,i-0782c0184dee1eddb,z1d.large,6.789060354,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1353.22ms,6.7684s,2
1574832396-0,0,i-00de3be9f53cc3912,z1d.large,6.836432934,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1354.52ms,6.7787s,2
1574832396-0,0,i-00de3be9f53cc3912,z1d.large,6.792361736,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1353.01ms,6.7695s,2
1574832396-0,0,i-00de3be9f53cc3912,z1d.large,6.790458202,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1352.69ms,6.7669s,2
1574832396-0,0,i-0f5fe27ff0ef6e381,z1d.large,6.84813571,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1352.78ms,6.7645s,2
1574832396-0,0,i-0f5fe27ff0ef6e381,z1d.large,6.798923731,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1352.57ms,6.7647s,2
1574832396-0,0,i-0f5fe27ff0ef6e381,z1d.large,6.789467812,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1352.51ms,6.7638s,2
1574832396-0,0,i-0df98229e2e8403eb,z1d.large,6.828215599,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1355.31ms,6.7876s,2
1574832396-0,0,i-0df98229e2e8403eb,z1d.large,6.788517475,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1353.13ms,6.7667s,2
1574832396-0,0,i-0df98229e2e8403eb,z1d.large,6.788413048,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1352.82ms,6.7675s,2
1574832396-0,0,i-0220dc64a60fd1f9f,z1d.large,6.851119518,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1354.29ms,6.7813s,2
1574832396-0,0,i-0220dc64a60fd1f9f,z1d.large,6.796696663,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1352.63ms,6.7660s,2
1574832396-0,0,i-0220dc64a60fd1f9f,z1d.large,6.795321465,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1352.63ms,6.7658s,2
1574832396-0,0,i-0498f2dcef88b261b,z1d.large,6.837398052,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1354.28ms,6.7843s,2
1574832396-0,0,i-0498f2dcef88b261b,z1d.large,6.795674801,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1353.19ms,6.7709s,2
1574832396-0,0,i-0498f2dcef88b261b,z1d.large,6.797197819,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1352.57ms,6.7695s,2
1574832396-0,0,i-0153f4c4d24d4e2a9,z1d.large,6.86093688,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1355.25ms,6.7875s,2
1574832396-0,0,i-0153f4c4d24d4e2a9,z1d.large,6.800765991,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1352.95ms,6.7700s,2
1574832396-0,0,i-0153f4c4d24d4e2a9,z1d.large,6.800834894,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1352.52ms,6.7679s,2
1574832396-1,1,i-0952e4ffb0701ef91,z1d.large,6.793273926,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1352.82ms,6.7676s,2
1574832396-1,1,i-0952e4ffb0701ef91,z1d.large,6.793590546,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1352.75ms,6.7676s,2
1574832396-1,1,i-0952e4ffb0701ef91,z1d.large,6.8228755,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1357.48ms,6.7979s,2
1574832396-1,1,i-03408d1660c8a46ef,z1d.large,6.807427645,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1352.81ms,6.7661s,2
1574832396-1,1,i-03408d1660c8a46ef,z1d.large,6.829619169,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1358.04ms,6.8010s,2
1574832396-1,1,i-03408d1660c8a46ef,z1d.large,6.793242455,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1353.04ms,6.7669s,2
1574832396-1,1,i-0264f279d3b403129,z1d.large,6.810875416,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1353.87ms,6.7740s,2
1574832396-1,1,i-0264f279d3b403129,z1d.large,6.793591261,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1353.09ms,6.7672s,2
1574832396-1,1,i-0264f279d3b403129,z1d.large,6.833122015,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1358.13ms,6.8051s,2
1574832396-1,1,i-05fcaa4c910001a43,z1d.large,6.795497656,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1353.08ms,6.7687s,2
1574832396-1,1,i-05fcaa4c910001a43,z1d.large,6.796957254,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1352.97ms,6.7702s,2
1574832396-1,1,i-05fcaa4c910001a43,z1d.large,6.800869465,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1353.71ms,6.7736s,2
1574832396-1,1,i-0418367ce189d1786,z1d.large,6.811239481,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1352.49ms,6.7664s,2
1574832396-1,1,i-0418367ce189d1786,z1d.large,6.800840378,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1353.54ms,6.7693s,2
1574832396-1,1,i-0418367ce189d1786,z1d.large,6.833675385,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1357.48ms,6.8034s,2
1574832396-1,1,i-0c61cf5d940d1d8a5,z1d.large,6.850069761,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1354.13ms,6.7719s,2
1574832396-1,1,i-0c61cf5d940d1d8a5,z1d.large,6.80392909,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1354.17ms,6.7746s,2
1574832396-1,1,i-0c61cf5d940d1d8a5,z1d.large,6.841426373,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1358.99ms,6.8111s,2
1574832396-1,1,i-0ac261e9896ff2c73,z1d.large,6.796468735,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1352.93ms,6.7649s,2
1574832396-1,1,i-0ac261e9896ff2c73,z1d.large,6.793773413,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1353.03ms,6.7715s,2
1574832396-1,1,i-0ac261e9896ff2c73,z1d.large,6.821391821,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1357.36ms,6.7993s,2
1574832396-1,1,i-0dc67b095147f37f5,z1d.large,6.798899174,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1353.11ms,6.7688s,2
1574832396-1,1,i-0dc67b095147f37f5,z1d.large,6.800999165,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1353.18ms,6.7719s,2
1574832396-1,1,i-0dc67b095147f37f5,z1d.large,6.834099531,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1358.56ms,6.8035s,2
1574832396-1,1,i-08838863b441b446e,z1d.large,6.821819067,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1353.20ms,6.7672s,2
1574832396-1,1,i-08838863b441b446e,z1d.large,6.795698881,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1353.15ms,6.7677s,2
1574832396-1,1,i-08838863b441b446e,z1d.large,6.792749882,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1352.81ms,6.7650s,2
1574832396-1,1,i-08e78262adfd2f98b,z1d.large,6.824286938,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1355.00ms,6.7840s,2
1574832396-1,1,i-08e78262adfd2f98b,z1d.large,6.798095465,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1353.30ms,6.7719s,2
1574832396-1,1,i-08e78262adfd2f98b,z1d.large,6.826161861,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1357.45ms,6.8004s,2
1574832396-1,1,i-0bd7297ea3249dfe3,z1d.large,6.823271036,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1353.39ms,6.7706s,2
1574832396-1,1,i-0bd7297ea3249dfe3,z1d.large,6.805908442,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1354.17ms,6.7754s,2
