instanceID,experimentID,instanceType,wallTime,clients,threads,scaleFactor,transactionsType,queryMode,duration,transactions,mountPoint
i-002f7e27ea3e0bc1c,1573973929-15,m5d.large,60.254297494888306,10,10,1,TPC-B (sort of),simple,60 s,137878,data_directory = '/var/lib/postgresql/9.5/main'
i-002f7e27ea3e0bc1c,1573973929-15,m5d.large,60.3172082901001,10,10,1,TPC-B (sort of),simple,60 s,137527,data_directory = '/var/lib/postgresql/9.5/main'
i-002f7e27ea3e0bc1c,1573973929-15,m5d.large,60.2449746131897,10,10,1,TPC-B (sort of),simple,60 s,138054,data_directory = '/var/lib/postgresql/9.5/main'
i-002f7e27ea3e0bc1c,1573973929-16,m5d.large,60.27474641799927,10,10,1,TPC-B (sort of),simple,60 s,148630,data_directory = '/var/lib/postgresql/9.5/main'
i-002f7e27ea3e0bc1c,1573973929-16,m5d.large,60.27426290512085,10,10,1,TPC-B (sort of),simple,60 s,149507,data_directory = '/var/lib/postgresql/9.5/main'
i-002f7e27ea3e0bc1c,1573973929-16,m5d.large,60.29039168357849,10,10,1,TPC-B (sort of),simple,60 s,148835,data_directory = '/var/lib/postgresql/9.5/main'
i-002f7e27ea3e0bc1c,1573973929-17,m5d.large,60.39347815513611,10,10,1,TPC-B (sort of),simple,60 s,149367,data_directory = '/var/lib/postgresql/9.5/main'
i-002f7e27ea3e0bc1c,1573973929-17,m5d.large,60.3824462890625,10,10,1,TPC-B (sort of),simple,60 s,149047,data_directory = '/var/lib/postgresql/9.5/main'
i-002f7e27ea3e0bc1c,1573973929-17,m5d.large,60.35736560821533,10,10,1,TPC-B (sort of),simple,60 s,148838,data_directory = '/var/lib/postgresql/9.5/main'
i-002f7e27ea3e0bc1c,1573973929-18,m5d.large,60.280129194259644,10,10,1,TPC-B (sort of),simple,60 s,149687,data_directory = '/var/lib/postgresql/9.5/main'
i-002f7e27ea3e0bc1c,1573973929-18,m5d.large,60.41783952713013,10,10,1,TPC-B (sort of),simple,60 s,149803,data_directory = '/var/lib/postgresql/9.5/main'
i-002f7e27ea3e0bc1c,1573973929-18,m5d.large,60.27158713340759,10,10,1,TPC-B (sort of),simple,60 s,149471,data_directory = '/var/lib/postgresql/9.5/main'
i-002f7e27ea3e0bc1c,1573973929-19,m5d.large,60.25866961479187,10,10,1,TPC-B (sort of),simple,60 s,149816,data_directory = '/var/lib/postgresql/9.5/main'
i-002f7e27ea3e0bc1c,1573973929-19,m5d.large,60.28730893135071,10,10,1,TPC-B (sort of),simple,60 s,149669,data_directory = '/var/lib/postgresql/9.5/main'
i-002f7e27ea3e0bc1c,1573973929-19,m5d.large,60.254037618637085,10,10,1,TPC-B (sort of),simple,60 s,149852,data_directory = '/var/lib/postgresql/9.5/main'
i-002f7e27ea3e0bc1c,1573973929-20,m5d.large,60.2492790222168,10,10,1,TPC-B (sort of),simple,60 s,149963,data_directory = '/var/lib/postgresql/9.5/main'
i-002f7e27ea3e0bc1c,1573973929-20,m5d.large,60.24954652786255,10,10,1,TPC-B (sort of),simple,60 s,149816,data_directory = '/var/lib/postgresql/9.5/main'
i-002f7e27ea3e0bc1c,1573973929-20,m5d.large,60.243178367614746,10,10,1,TPC-B (sort of),simple,60 s,149471,data_directory = '/var/lib/postgresql/9.5/main'
i-002f7e27ea3e0bc1c,1573973929-21,m5d.large,60.2779426574707,10,10,1,TPC-B (sort of),simple,60 s,150761,data_directory = '/var/lib/postgresql/9.5/main'
i-002f7e27ea3e0bc1c,1573973929-21,m5d.large,60.23829102516174,10,10,1,TPC-B (sort of),simple,60 s,151041,data_directory = '/var/lib/postgresql/9.5/main'
i-002f7e27ea3e0bc1c,1573973929-21,m5d.large,60.25807785987854,10,10,1,TPC-B (sort of),simple,60 s,151190,data_directory = '/var/lib/postgresql/9.5/main'
i-002f7e27ea3e0bc1c,1573973929-22,m5d.large,60.25094747543335,10,10,1,TPC-B (sort of),simple,60 s,151234,data_directory = '/var/lib/postgresql/9.5/main'
i-002f7e27ea3e0bc1c,1573973929-22,m5d.large,60.287246227264404,10,10,1,TPC-B (sort of),simple,60 s,151254,data_directory = '/var/lib/postgresql/9.5/main'
i-002f7e27ea3e0bc1c,1573973929-22,m5d.large,60.25669550895691,10,10,1,TPC-B (sort of),simple,60 s,151201,data_directory = '/var/lib/postgresql/9.5/main'
i-002f7e27ea3e0bc1c,1573973929-23,m5d.large,60.2546591758728,10,10,1,TPC-B (sort of),simple,60 s,151344,data_directory = '/var/lib/postgresql/9.5/main'
i-002f7e27ea3e0bc1c,1573973929-23,m5d.large,60.27119541168213,10,10,1,TPC-B (sort of),simple,60 s,151349,data_directory = '/var/lib/postgresql/9.5/main'
i-002f7e27ea3e0bc1c,1573973929-23,m5d.large,60.362295389175415,10,10,1,TPC-B (sort of),simple,60 s,150972,data_directory = '/var/lib/postgresql/9.5/main'
i-002f7e27ea3e0bc1c,1573973929-24,m5d.large,60.269744873046875,10,10,1,TPC-B (sort of),simple,60 s,152704,data_directory = '/var/lib/postgresql/9.5/main'
i-002f7e27ea3e0bc1c,1573973929-24,m5d.large,60.23230838775635,10,10,1,TPC-B (sort of),simple,60 s,152465,data_directory = '/var/lib/postgresql/9.5/main'
i-002f7e27ea3e0bc1c,1573973929-24,m5d.large,60.303250312805176,10,10,1,TPC-B (sort of),simple,60 s,153265,data_directory = '/var/lib/postgresql/9.5/main'
i-002f7e27ea3e0bc1c,1573973929-25,m5d.large,60.217424154281616,10,10,1,TPC-B (sort of),simple,60 s,153293,data_directory = '/var/lib/postgresql/9.5/main'
