instanceID,setId,tenants,sysbench_wallTime,sysbench_std_wallTime,y_cruncher_wallTime,y_cruncher_std_wallTime,pgbench_transactions,pgbench_std_transactions,instanceID,iperf_bandwidthUpload,iperf_bandwitdhDownload,iperf_total,iperf_stdUp,iperf_stdDown,iperf_stdTotal
i-0009b7735dea24732,1,47,9.048612065,0.015679297,6.425419834,0.033279421,124874.6667,504.840899,i-0009b7735dea24732,484.7,524.6,1009.3,108.423091,140.9532625,173.0202621
i-002f7e27ea3e0bc1c,1,47,9.050581349,0.016267186,6.496948083,0.093196924,123011,60.25777958,i-002f7e27ea3e0bc1c,519.9,637.7,1157.6,299.2867261,193.8006135,408.1152343
i-007e12c9530b8cdea,1,47,9.051399019,0.018595066,6.416942941,0.129026234,121913,315.905049,i-007e12c9530b8cdea,505.5,513.4,1018.9,207.2155346,169.6147268,349.4136199
i-008e6f72c7403b5d3,1,47,9.048522817,0.014277042,6.419182539,0.045076609,125413.3333,278.8087756,i-008e6f72c7403b5d3,635.3,613,1248.3,170.5781346,121.8569289,170.0771394
i-00ba7a56c944e5a25,1,47,9.052540488,0.021267813,6.554025279,0.02513057,124615.3333,168.0962026,i-00ba7a56c944e5a25,775,628.5,1403.5,655.9339398,339.190294,983.4266905
i-00d71d40b42658392,1,47,9.048826615,0.013860062,6.609550132,0.215237665,122821.6667,569.6809048,i-00d71d40b42658392,529.9,498.8,1028.7,159.7264676,178.3914547,189.0831974
i-01f539b055c2a5d34,1,47,9.048472908,0.014468752,6.426703665,0.050190847,124665.6667,486.510363,i-01f539b055c2a5d34,560,567.6,1127.6,158.4543397,115.0286921,246.5807057
i-0243a74ede206f760,1,47,9.047292312,0.015160231,6.466193596,0.070235759,124727,177.75545,i-0243a74ede206f760,499.6,520.9,1020.5,137.6252561,145.7886217,245.3601661
i-02765ba82e12781a4,1,47,9.049215449,0.014254859,6.523258077,0.032325278,123073,517.6977883,i-02765ba82e12781a4,576.2,511.2,1087.4,178.6677861,139.8799485,301.441426
i-02ca0e36a4acaf9fc,1,47,9.050026258,0.013423513,6.491234647,0.074315304,122478,121.577136,i-02ca0e36a4acaf9fc,578,537.7,1115.7,250.3757177,195.0008832,309.1066159
i-040dfb2d2a1990b9d,1,47,9.047796541,0.013416364,6.449173345,0.053210728,123491,786.834163,i-040dfb2d2a1990b9d,546.1,522.6,1068.7,127.4288037,74.1143261,190.9863579
i-048c3c6548c1a414a,1,47,9.049773455,0.013948488,6.596384075,0.14840601,123590.3333,98.28699473,i-048c3c6548c1a414a,517.6,495.8,1013.4,178.8731394,76.37160613,177.9639164
i-0507566c757134fb6,1,47,9.053628604,0.020282587,6.546731234,0.053549979,124023.6667,101.6333279,i-0507566c757134fb6,593.3,584.4,1177.7,376.0532025,206.8994388,554.3570951
i-05e473f8ff82c1527,1,47,9.052327712,0.0179536,6.411597411,0.041857428,124017.6667,492.3944895,i-05e473f8ff82c1527,657.3,640.9,1298.2,438.2292779,436.6077441,869.6479237
i-067b2519b614c8f9d,1,47,9.050176038,0.015181028,6.384068754,0.035580942,123165.6667,376.1573252,i-067b2519b614c8f9d,529.2,500.3,1029.5,310.6050726,178.1560178,472.0120643
i-06b96f53253b4cc2e,1,47,9.050600211,0.017067981,6.53071777,0.063629306,124210,224.3858284,i-06b96f53253b4cc2e,560.9,588.4,1149.3,357.8710041,157.8981388,484.6774529
i-071a48cf857bce94f,1,47,9.051059696,0.01597009,6.528216998,0.0986948,122764.3333,641.9784524,i-071a48cf857bce94f,705.4,560.8,1266.2,764.1186935,354.8373023,1106.806999
i-07379900fe80899d6,1,47,9.053275029,0.019474605,6.529012972,0.065931811,123157,297.2339146,i-07379900fe80899d6,570,526.3,1096.3,200.2587215,224.1428364,399.1129191
i-0763ab86e85627573,1,47,9.051558627,0.017379351,6.545122438,0.024664969,115599.3333,53.79900866,i-0763ab86e85627573,711,653.5,1364.5,395.5659799,423.8441144,788.7544682
i-07998976f194caa97,1,47,9.050803185,0.017533617,6.476739751,0.036334198,124298.6667,227.820836,i-07998976f194caa97,533.3,624.1,1157.4,205.6264412,201.0541386,387.4985878
i-07be1c77f6fdf8eda,1,47,9.054163005,0.014993502,6.555731323,0.039659324,124603,361.0415489,i-07be1c77f6fdf8eda,351.3,504,855.3,124.0842456,187.7291193,289.3517851
i-07c76ac1348426483,1,47,9.045660072,0.016294942,6.530129751,0.104710731,121790.3333,320.9553448,i-0837f0f6a7a42ac68,805.6,652,1457.6,764.4274837,325.8066912,1055.987395
i-0837f0f6a7a42ac68,1,47,9.058171219,0.04258359,6.514462736,0.064473455,124017.6667,247.8917775,i-084caea7d9c000ba9,423.9,475.1,899,102.0233633,118.7756522,200.139951
i-084caea7d9c000ba9,1,47,9.048520618,0.014478787,6.547997634,0.013968535,122709,579.3763889,i-08559b79281547ef2,381.4,494.8,876.2,77.83629545,176.1645695,214.8295448
i-08559b79281547ef2,1,47,9.050522751,0.017356104,6.516278479,0.055961843,123678.6667,147.5985546,i-08e70b514c8c3cd5a,450.2,518.6,968.8,139.4328193,187.278877,310.2378299
i-08e70b514c8c3cd5a,1,47,9.047338804,0.013284558,6.422873338,0.069874396,124678,193.0077719,i-08ff78a502245298a,624.1,509.6,1133.7,171.4490206,162.3344969,317.1704939
i-08ff78a502245298a,1,47,9.04622025,0.011861344,6.440450165,0.030910885,124997.3333,260.079475,i-095d06d26dd29ecec,464.6,518.5,983.1,156.1418159,161.4092452,196.2580218
i-095d06d26dd29ecec,1,47,9.048544884,0.015134122,6.526935445,0.0182179,124139.6667,691.8745069,i-0977cb2af690d36fd,481.1,576.9,1058,196.3536775,84.07331457,235.0768196
i-0977cb2af690d36fd,1,47,9.058046261,0.037692542,6.432114204,0.058759981,126133.3333,430.8553508,i-09c658651b17c197e,772.2,617.2,1389.4,363.5478877,147.0100526,470.0189594
i-09c658651b17c197e,1,47,9.047222402,0.0139249,6.576244911,0.045251149,122291,408.826369,i-0ab84c959b473605a,523.1,513.3,1036.4,364.0486689,167.9689455,514.3362929
i-0aecb3d1daeccc874,1,47,9.047952625,0.016534585,6.614541557,0.069313375,125058,564.6618457,i-0aecb3d1daeccc874,566.5,611.7,1178.2,277.5781171,210.2438003,449.6242382
i-0b138e3642a677559,1,47,9.050935321,0.012949625,6.396765682,0.052420215,122998.3333,186.2426732,i-0b138e3642a677559,568.9,519.6,1088.5,329.6450785,170.6615885,483.7116336
i-0b3a38b18367faa71,1,47,9.048381408,0.012715115,6.389517307,0.053958392,123844.6667,270.0783837,i-0b3a38b18367faa71,743.7,631.5,1375.2,397.6053459,206.351507,565.2849429
i-0ba417327f988ba2b,1,47,9.057256169,0.015379002,6.563087119,0.049388545,122896,641.5605973,i-0ba417327f988ba2b,592.9,563.9,1156.8,226.6159012,365.0295117,574.564144
i-0bfaa8f4e041c36fa,1,47,9.048250331,0.016773771,6.533539878,0.104907115,123704,622.2483427,i-0bfaa8f4e041c36fa,645.9,504.3,1150.2,164.1702707,94.42110169,242.4641096
i-0c3e9f9e7b281edfe,1,47,9.050516076,0.015390423,6.541642825,0.015906636,126649.6667,120.8649384,i-0c3e9f9e7b281edfe,443.4,493.8,937.2,161.0329159,116.1606168,238.8406256
i-0cc4b604b837f69d9,1,47,9.048782984,0.014165858,6.405739069,0.059963359,123066,401.4523633,i-0cc4b604b837f69d9,518.3,534,1052.3,202.2045444,117.9189929,290.1605111
i-0d136c81f43ce8a29,1,47,9.049325095,0.014149846,6.489831712,0.066643517,124849.3333,527.4280362,i-0d136c81f43ce8a29,671.9,594.1,1266,296.5548291,126.1176259,388.0535473
i-0d1c421d52c368b29,1,47,9.047794845,0.013829667,6.561289152,0.037825692,122588,187.6619301,i-0d1c421d52c368b29,560.4,512.6,1073,134.9042459,98.62634311,204.4896085
i-0d44050a4e6a71d7c,1,47,9.04737552,0.01415012,6.597229296,0.15692042,123700,103.5905401,i-0d44050a4e6a71d7c,395.3,576.7,972,110.1776848,97.42239076,115.2938275
i-0d6feb91baa545931,1,47,9.0569138,0.020364453,6.502318965,0.128184336,121857.6667,456.4562776,i-0d6feb91baa545931,665.1,466.9,1132,263.8650539,83.71306814,321.6012023
i-0d75b8bf3603b2040,1,47,9.055646976,0.019506956,6.426370939,0.060851311,123772,244.043029,i-0d75b8bf3603b2040,526.7,527.7,1054.4,148.523137,105.8993757,224.5811905
i-0dcfa6d3bc470d28d,1,47,9.051319599,0.019931563,6.429629564,0.045101334,124550.6667,775.1930942,i-0dcfa6d3bc470d28d,567.1,502.7,1069.8,198.4436388,155.8981505,319.4386743
