instanceID,setId,tenants,transactions,std_transactions
i-0d44050a4e6a71d7c,0,48,124210.0,530.5346360040973
i-0d6feb91baa545931,0,48,121454.66666666667,359.1884370818955
i-0d75b8bf3603b2040,0,48,122447.0,715.2286347735247
i-0dcfa6d3bc470d28d,0,48,124719.66666666667,656.1534373401812
i-0e167bbfcd6a685f5,0,48,122529.66666666667,544.4908937101995
i-0ede59d8254436a40,0,48,123651.33333333333,98.0068024849958
i-0f285214d5c41327e,0,48,123640.66666666667,376.39119720489583
i-0f472084ac3992ad9,0,48,125537.33333333333,638.5266896014067
i-0009b7735dea24732,1,47,124874.66666666667,504.84089902991417
i-002f7e27ea3e0bc1c,1,47,123011.0,60.25777958073132
i-007e12c9530b8cdea,1,47,121913.0,315.9050490258109
i-008e6f72c7403b5d3,1,47,125413.33333333333,278.80877556729405
i-00ba7a56c944e5a25,1,47,124615.33333333333,168.0962026142568
i-00d71d40b42658392,1,47,122821.66666666667,569.6809048347426
i-01f539b055c2a5d34,1,47,124665.66666666667,486.5103630276875
i-0243a74ede206f760,1,47,124727.0,177.75544998677256
i-02765ba82e12781a4,1,47,123073.0,517.6977882896546
i-02ca0e36a4acaf9fc,1,47,122478.0,121.57713600837947
i-040dfb2d2a1990b9d,1,47,123491.0,786.8341629593875
i-048c3c6548c1a414a,1,47,123590.33333333333,98.28699473141542
i-0507566c757134fb6,1,47,124023.66666666667,101.63332786705799
i-05e473f8ff82c1527,1,47,124017.66666666667,492.394489544036
i-067b2519b614c8f9d,1,47,123165.66666666667,376.1573252421544
i-06b96f53253b4cc2e,1,47,124210.0,224.38582842951558
i-071a48cf857bce94f,1,47,122764.33333333333,641.9784523902154
i-07379900fe80899d6,1,47,123157.0,297.2339146194458
i-0763ab86e85627573,1,47,115599.33333333333,53.79900866496632
i-07998976f194caa97,1,47,124298.66666666667,227.8208360386139
i-07be1c77f6fdf8eda,1,47,124603.0,361.0415488555299
i-07c76ac1348426483,1,47,121790.33333333333,320.95534476517736
i-0837f0f6a7a42ac68,1,47,124017.66666666667,247.89177746212857
i-084caea7d9c000ba9,1,47,122709.0,579.3763888872242
i-08559b79281547ef2,1,47,123678.66666666667,147.59855464513475
i-08e70b514c8c3cd5a,1,47,124678.0,193.00777186424386
i-08ff78a502245298a,1,47,124997.33333333333,260.0794750327952
i-095d06d26dd29ecec,1,47,124139.66666666667,691.874506925448
i-0977cb2af690d36fd,1,47,126133.33333333333,430.85535082360747
i-09c658651b17c197e,1,47,122291.0,408.8263690125675
i-0aecb3d1daeccc874,1,47,125058.0,564.6618457094476
i-0b138e3642a677559,1,47,122998.33333333333,186.24267323396265
i-0b3a38b18367faa71,1,47,123844.66666666667,270.0783836839492
i-0ba417327f988ba2b,1,47,122896.0,641.5605972938176
i-0bfaa8f4e041c36fa,1,47,123704.0,622.2483427057078
i-0c3e9f9e7b281edfe,1,47,126649.66666666667,120.86493839543735
i-0cc4b604b837f69d9,1,47,123066.0,401.4523633010522
i-0d136c81f43ce8a29,1,47,124849.33333333333,527.4280361654419
i-0d1c421d52c368b29,1,47,122588.0,187.66193007640095
i-0d44050a4e6a71d7c,1,47,123700.0,103.59054010864119
i-0d6feb91baa545931,1,47,121857.66666666667,456.4562775702965
i-0d75b8bf3603b2040,1,47,123772.0,244.0430289928397
i-0dcfa6d3bc470d28d,1,47,124550.66666666667,775.1930942244843
i-0e167bbfcd6a685f5,1,47,124012.66666666667,310.1891895816687
i-0ede59d8254436a40,1,47,125163.0,234.9212634054227
i-0f285214d5c41327e,1,47,125052.66666666667,325.06204535954697
i-0f472084ac3992ad9,1,47,126058.33333333333,261.28592257015
i-0009b7735dea24732,2,46,126450.66666666667,427.29654027774615
i-002f7e27ea3e0bc1c,2,46,123215.33333333333,248.52431135270115
i-007e12c9530b8cdea,2,46,122515.33333333333,294.52390961233425
i-008e6f72c7403b5d3,2,46,127146.33333333333,582.5472799123996
i-00ba7a56c944e5a25,2,46,126584.66666666667,229.31710213879032
i-00d71d40b42658392,2,46,123655.33333333333,242.26913409126783
i-01f539b055c2a5d34,2,46,126836.0,69.15923654870693
i-0243a74ede206f760,2,46,126725.66666666667,246.64617031961532
i-02765ba82e12781a4,2,46,123554.0,357.03081099535376
i-02ca0e36a4acaf9fc,2,46,124641.0,316.96529778510455
i-040dfb2d2a1990b9d,2,46,123902.0,35.34119409414458
i-048c3c6548c1a414a,2,46,125962.0,253.37916252130915
i-0507566c757134fb6,2,46,124209.66666666667,231.80451534284828
i-05e473f8ff82c1527,2,46,125899.0,379.86839826445157
i-067b2519b614c8f9d,2,46,123145.0,409.637644754483
i-06b96f53253b4cc2e,2,46,124580.33333333333,75.0755175362317
i-071a48cf857bce94f,2,46,123424.0,221.75887806353998
i-07379900fe80899d6,2,46,125030.0,450.15997156566465
i-0763ab86e85627573,2,46,117659.0,50.92150822589606
i-07998976f194caa97,2,46,124533.66666666667,277.83508297789206
i-07be1c77f6fdf8eda,2,46,124394.0,674.380456419075
