,iperf,sysbench,ycruncher,pgbench,setId,vmId
3362,910.0,9.080827236000001,6.506840706,124556,47,40
3363,1242.0,9.07382822,6.521909475,125946,47,41
3364,664.0,9.049059629,6.548485994,125872,47,41
3365,711.0,9.106509924,6.513746262000001,126357,47,41
3366,820.0,9.043453455,6.464087009,122352,47,42
3367,759.0,9.038612127,6.786540747,122437,47,42
3368,1205.0,9.040120125,6.471181392999999,123504,47,42
3369,819.0,9.057856321000001,6.39702177,123486,47,43
3370,1289.0,9.048535347,6.429323912,124109,47,43
3371,706.0,9.096935987,6.339212894,124458,47,43
3372,1390.0,9.060201406000001,6.494770527000001,122632,47,44
3373,825.0,9.037370205,6.57180047,122944,47,44
3374,939.0,9.084047079,6.505898237,123643,47,44
3375,764.0,9.042232752,6.467512131,122675,47,45
3376,1161.0,9.045564651,6.423368453999999,123553,47,45
3377,921.0,9.037841082,6.345678091,124245,47,45
3378,1195.0,9.068809509,6.580101252,124701,47,46
3379,1306.0,9.037544489,6.583533763999999,124764,47,46
3380,1059.0,9.084542512999999,6.53265214,125709,47,46
3381,1343.0,9.063955784,6.43018508,123499,47,47
3382,1133.0,9.046548367,6.412009478,123969,47,47
3383,1083.0,9.104207277,6.319241285,123848,47,47
3384,478.0,9.039407968999999,6.532365561000001,123421,48,1
3385,1062.0,9.038662195,6.55653739,123652,48,1
3386,979.0,9.037445545,6.434881926,123507,48,1
3387,731.0,9.068244457,6.573394775,123775,48,2
3388,736.0,9.037106514,6.52633667,122814,48,2
3389,749.0,9.039913416000001,6.406169176000001,122431,48,2
3390,904.0,9.040673018,6.450553656,123703,48,3
3391,943.0,9.038692951,6.372260094,123982,48,3
3392,907.0,9.046492577,6.4050226210000005,123237,48,3
3393,1066.0,10.48462868,6.504959822000001,123136,48,4
3394,833.0,9.044772863,6.616951466000001,122814,48,4
3395,670.0,9.032917738,6.401234865,122023,48,4
3396,1117.0,9.03820014,6.552673101,124810,48,5
3397,1284.0,9.050166368,6.530315399,124379,48,5
3398,861.0,9.047397137,6.391520977000001,124675,48,5
3399,1199.0,9.046278715,6.560408354,123516,48,6
3400,654.0,9.040238619,6.492238283,123549,48,6
3401,1070.0,9.046531677,6.405528545,123066,48,6
3402,1307.0,9.05566144,6.486208916,123833,48,7
3403,1268.0,9.038070917,6.550238371,122899,48,7
3404,697.0,9.045259237,6.404750347,122554,48,7
3405,614.0,9.062942742999999,6.568327665,123774,48,8
3406,1230.0,9.042340755,6.568036318,123242,48,8
3407,480.0,9.040273905,6.397777796000001,122991,48,8
3408,886.0,9.064689636,6.5587246420000005,124077,48,9
3409,1187.0,9.04393816,6.523087025,122852,48,9
3410,1222.0,9.042580843,6.35419631,123194,48,9
3411,1235.0,9.056895971,6.641740799,123776,48,10
3412,927.0,9.040921688,6.519328356,122779,48,10
3413,798.0,9.040219307000001,6.386673927,122598,48,10
3414,863.0,9.0367136,6.5884451870000005,125950,48,11
3415,676.0,9.046628475,6.544766902999999,125718,48,11
3416,1130.0,9.053093195,6.400806189,125878,48,11
3417,1298.0,9.038892984,6.515228987,124797,48,12
3418,980.0,9.042797804,6.455746651,124250,48,12
3419,886.0,9.038823127999999,6.367702484,123756,48,12
3420,914.0,9.054263353,6.53213048,124266,48,13
3421,752.0,9.039032936,6.499214887999999,122932,48,13
3422,707.0,9.040270805,6.5361051560000005,123083,48,13
3423,1312.0,9.054132223,6.5828578470000005,124219,48,14
3424,602.0,9.041772842,6.524909257999999,123099,48,14
3425,887.0,9.040864229,6.483222723,122919,48,14
3426,1113.0,9.057163715,6.751961708,123690,48,15
3427,1361.0,9.047088861,6.58807826,123120,48,15
3428,580.0,9.040013313,6.416208029,122819,48,15
3429,889.0,9.042748213,6.571045637,123924,48,16
3430,966.0,9.03875351,6.510133982,123006,48,16
3431,1199.0,9.041220187999999,6.438673018999999,122928,48,16
3432,1182.0,9.056569576000001,6.623566389,123561,48,17
3433,965.0,9.04250145,6.565189362000001,122711,48,17
3434,930.0,9.047466992999999,6.494033097999999,122640,48,17
3435,1126.0,9.056579351,6.571325302000001,123170,48,18
3436,633.0,9.0406425,6.623663187000001,123376,48,18
3437,1343.0,9.037519932,6.386503696,122886,48,18
3438,1057.0,9.066729307000001,6.813057184,122325,48,19
3439,993.0,9.038350344,6.539055347000001,121917,48,19
3440,656.0,9.043837309,6.548187971,121427,48,19
