11-16-2019,python3 distribute_work.py -b sysbench -s -c 5 -n 10 -d 2,,,,,,
experimentID,instanceID,instanceType,wallTime,testOption,per-request-avg-time,total-time,thread-num
1573960552-6,i-0d6feb91baa545931,m5d.large,9.038511038,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.42ms,9.0177s,2
1573960552-6,i-0d6feb91baa545931,m5d.large,9.036760092,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.82ms,9.0161s,2
1573960552-7,i-0d6feb91baa545931,m5d.large,9.052468777,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.71ms,9.0168s,2
1573960552-7,i-0d6feb91baa545931,m5d.large,9.046812057,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.41ms,9.0228s,2
1573960552-7,i-0d6feb91baa545931,m5d.large,9.039296865,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.77ms,9.0181s,2
1573960552-7,i-0d6feb91baa545931,m5d.large,9.037584782,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.70ms,9.0178s,2
1573960552-7,i-0d6feb91baa545931,m5d.large,9.040294647,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.13ms,9.0204s,2
1573960552-7,i-0d6feb91baa545931,m5d.large,9.069417238,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1806.49ms,9.0485s,2
1573960552-7,i-0d6feb91baa545931,m5d.large,9.039212227,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.74ms,9.0192s,2
1573960552-7,i-0d6feb91baa545931,m5d.large,9.039674282,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.06ms,9.0185s,2
1573960552-7,i-0d6feb91baa545931,m5d.large,9.038933277,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.43ms,9.0181s,2
1573960552-7,i-0d6feb91baa545931,m5d.large,9.038695097,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.63ms,9.0174s,2
1573960552-8,i-0d6feb91baa545931,m5d.large,8.77806592,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1749.57ms,8.7505s,2
1573960552-8,i-0d6feb91baa545931,m5d.large,8.775542021,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1750.19ms,8.7540s,2
